candidate_id,lat,lon,radius_used_m,people_walk10,dist_to_osm_water_m,gsw_occ_mean,gsw_occ_max,soil_ph_0_5cm,soil_clay_pct_0_5cm,soil_sand_pct_0_5cm,soil_soc_gkg_0_5cm,soil_source,hand_proxy_m,slope_deg,modis_lst_C,ecostress_lst_C,smap_sm_m3m3,building_cover_pct,road_km_per_km2,cnt_schools__1200m,cnt_colleges__1200m,cnt_universities__1200m,cnt_hospitals__1200m,cnt_clinics__1200m,cnt_pharmacies__1200m,cnt_markets__1200m,cnt_libraries__1200m,cnt_community__1200m,cnt_police__1200m,cnt_fire__1200m,cnt_worship__1200m,cnt_playgrounds__1200m,cnt_sports__1200m,cnt_parks_gardens__1200m,cnt_supermarkets__1200m,cnt_schools__800m,cnt_colleges__800m,cnt_universities__800m,cnt_hospitals__800m,cnt_clinics__800m,cnt_pharmacies__800m,cnt_markets__800m,cnt_libraries__800m,cnt_community__800m,cnt_police__800m,cnt_fire__800m,cnt_worship__800m,cnt_playgrounds__800m,cnt_sports__800m,cnt_parks_gardens__800m,cnt_supermarkets__800m
1,25.06336348241186,90.42309258925359,1200,,1162.3,3.580310880829014,5.0,,,,,,,,28.53707589285717,,,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2,25.09889627415223,90.4099648506218,1200,,195.4,9.126284875183558,12.0,,,,,,,,28.773796477495118,,,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,25.017371562226508,90.36840798286653,1200,,1141.3,0.0,0.0,,,,,,,,27.595843750000054,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
4,25.05404067393443,90.35720058884122,1200,,2815.2,4.029100529100529,5.0,,,,,,,,27.904417808219208,,,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
5,25.038213012986446,90.34244696406782,800,,3617.3,,,,,,,,,,27.824662162162195,,,,1.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6,25.069368579095862,90.37817315860553,1200,,1156.1,0.0,0.0,,,,,,,,27.87842857142863,,,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7,25.125898538245014,90.31775938196598,1200,,273.2,,,,,,,,,,27.26603174603178,,,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,25.087777519356422,90.32079441358889,1200,,1327.7,,,,,,,,,,27.641428571428605,,,,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
9,25.08978467853183,90.37729030390918,1200,,7.3,35.22641987829619,56.0,,,,,,,,28.459809523809533,,,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10,25.142362966530087,90.37090938917243,1200,,1360.6,,,,,,,,,,28.674369047619074,,,,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11,25.147762005295448,90.37160469337472,1200,,1131.4,,,,,,,,,,29.16059233449479,,,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
12,25.03227485627191,90.373712670412,1200,,2621.0,5.98633257403189,14.0,,,,,,,,27.74000000000001,,,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
13,25.167364690884387,90.30944532616638,800,,2872.7,,,,,,,,,,27.98965753424663,,,,2.1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,25.113958844290508,90.39968665161204,1200,,11.2,0.14634146341463417,1.0,,,,,,,,28.860493827160514,,,,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
15,25.11316539574358,90.33143807753797,800,,396.5,,,,,,,,,,27.86714285714288,,,1.0,2.8,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
16,25.127664700738052,90.41105221707183,1200,,1015.6,,,,,,,,,,28.84235772357726,,,0.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
17,25.10674695180497,90.33656397798002,800,,114.4,,,,,,,,,,27.851003861003893,,,0.4,1.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
18,25.06520819974278,90.335948993227,800,,1754.7,,,,,,,,,,27.817671232876727,,,0.1,1.6,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,25.17221815625979,90.29932428955684,1200,,2827.3,,,,,,,,,,28.105791139240555,,,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
20,25.05521857801111,90.38521389878001,1200,,2771.5,0.0,0.0,,,,,,,,27.876563706563715,,,,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
